NombreProducto,FechaMovimiento,MontoBase,year
POLLO SIN MENUDENCIA H-C,2018-12-17,22.695,2018
POLLO SIN MENUDENCIA H-C,2018-12-17,21.093,2018
POLLO SIN MENUDENCIA H-C,2018-12-17,47.081,2018
POLLO SIN MENUDENCIA H-C,2018-12-17,23.585,2018
POLLO SIN MENUDENCIA H-C,2018-12-17,21.805,2018
POLLO SIN MENUDENCIA H-C,2018-12-17,26.077,2018
POLLO SIN MENUDENCIA H-C,2018-12-17,21.004,2018
POLLO SIN MENUDENCIA H-C,2018-12-18,25.187,2018
POLLO SIN MENUDENCIA H-C,2018-12-18,22.695,2018
POLLO SIN MENUDENCIA H-C,2018-12-18,28.747,2018
POLLO SIN MENUDENCIA H-C,2018-12-18,49.662,2018
POLLO SIN MENUDENCIA H-C,2018-12-18,144.18,2018
POLLO SIN MENUDENCIA H-C,2018-12-18,21.894,2018
POLLO SIN MENUDENCIA H-C,2018-12-18,21.805,2018
POLLO SIN MENUDENCIA H-C,2018-12-19,21.093,2018
POLLO SIN MENUDENCIA H-C,2018-12-19,18.512,2018
POLLO SIN MENUDENCIA H-C,2018-12-19,21.894,2018
POLLO SIN MENUDENCIA H-C,2018-12-19,19.936,2018
POLLO SIN MENUDENCIA H-C,2018-12-19,20.915,2018
POLLO SIN MENUDENCIA H-C,2018-12-20,92.204,2018
POLLO SIN MENUDENCIA H-C,2018-12-20,20.47,2018
POLLO SIN MENUDENCIA H-C,2018-12-20,18.957,2018
POLLO SIN MENUDENCIA H-C,2018-12-20,22.784,2018
POLLO SIN MENUDENCIA H-C,2018-12-20,19.58,2018
POLLO SIN MENUDENCIA H-C,2018-12-21,52.51,2018
POLLO SIN MENUDENCIA H-C,2018-12-21,21.983,2018
POLLO SIN MENUDENCIA H-C,2018-12-21,237.363,2018
POLLO SIN MENUDENCIA H-C,2018-12-21,23.496,2018
POLLO SIN MENUDENCIA H-C,2018-12-21,22.161,2018
POLLO SIN MENUDENCIA H-C,2018-12-21,20.203,2018
POLLO SIN MENUDENCIA H-C,2018-12-21,18.423,2018
POLLO SIN MENUDENCIA H-C,2018-12-21,139.55200000000002,2018
POLLO SIN MENUDENCIA H-C,2018-12-21,89.35600000000001,2018
POLLO SIN MENUDENCIA H-C,2018-12-21,44.055,2018
POLLO SIN MENUDENCIA H-C,2018-12-21,43.699000000000005,2018
POLLO SIN MENUDENCIA H-C,2018-12-21,228.374,2018
POLLO SIN MENUDENCIA H-C,2018-12-21,249.289,2018
POLLO SIN MENUDENCIA H-C,2018-12-21,250.446,2018
POLLO SIN MENUDENCIA H-C,2018-12-21,249.289,2018
POLLO SIN MENUDENCIA H-C,2018-12-22,87.843,2018
POLLO SIN MENUDENCIA H-C,2018-12-22,22.606,2018
POLLO SIN MENUDENCIA H-C,2018-12-22,233.803,2018
POLLO SIN MENUDENCIA H-C,2018-12-22,20.025,2018
POLLO SIN MENUDENCIA H-C,2018-12-23,21.538,2018
POLLO SIN MENUDENCIA H-C,2018-12-23,22.072000000000003,2018
POLLO SIN MENUDENCIA H-C,2018-12-23,24.653,2018
POLLO SIN MENUDENCIA H-C,2018-12-23,24.653,2018
POLLO SIN MENUDENCIA H-C,2018-12-23,24.03,2018
POLLO SIN MENUDENCIA H-C,2018-12-23,22.606,2018
POLLO SIN MENUDENCIA H-C,2018-12-23,22.606,2018
POLLO SIN MENUDENCIA H-C,2018-12-23,22.072000000000003,2018
POLLO SIN MENUDENCIA H-C,2018-12-23,47.437,2018
POLLO SIN MENUDENCIA H-C,2018-12-23,48.861,2018
POLLO SIN MENUDENCIA H-C,2018-12-23,69.242,2018
POLLO SIN MENUDENCIA H-C,2018-12-23,23.318,2018
POLLO SIN MENUDENCIA H-C,2018-12-23,21.627,2018
POLLO SIN MENUDENCIA H-C,2018-12-23,21.983,2018
POLLO SIN MENUDENCIA H-C,2018-12-23,24.119000000000003,2018
POLLO SIN MENUDENCIA H-C,2018-12-23,22.072000000000003,2018
